grupa,klucz,kryterium,decyzja,powod,rola,id,nazwa,domena,nazwa_znormalizowana,utworzono,kontakty,deale,url
24,grupaazoty.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8671526884,Grupa Azoty S.A.,grupaazoty.com,grupa azoty s a,2023-10-06,2,0,https://app.hubspot.com/contacts/26782316/record/0-2/8671526884
24,grupaazoty.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,9392522481,Grupa Azoty Polyolefins S.A.,grupaazoty.com,grupa azoty polyolefins s a,2023-12-29,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/9392522481
25,heidelberg.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8917594047,Heidelberg Polska,heidelberg.com,heidelberg polska,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917594047
25,heidelberg.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,8917669625,Heidelberger Druckmaschinen AG,heidelberg.com,heidelberger druckmaschinen,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917669625
26,heinekenkrakow.pl,domena,scal,,MASTER,8980922101,HEINEKEN Global Shared Services,heinekenkrakow.pl,heineken global shared services,2023-11-09,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/8980922101
26,heinekenkrakow.pl,domena,scal,,scal-do-mastera,115339668668,HEINEKEN Global Shared Services,heinekenkrakow.pl,heineken global shared services,2025-03-16,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/115339668668
27,infermedica.com,domena,scal,,MASTER,429381771465,Infermedica,infermedica.com,infermedica,2026-05-06,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/429381771465
27,infermedica.com,domena,scal,,scal-do-mastera,243596728521,Infermedica,infermedica.com,infermedica,2025-09-24,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/243596728521
28,ingrammicro24.com,domena,scal,,MASTER,8917593837,Ingram Micro Sp. z o.o. (Polska),ingrammicro24.com,ingram micro sp z o o polska,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917593837
28,ingrammicro24.com,domena,scal,,scal-do-mastera,8917420237,Ingram Micro Sp. z o.o. (Polska),ingrammicro24.com,ingram micro sp z o o polska,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917420237
29,interhandler.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8924520164,JCB Interhandler,interhandler.pl,jcb interhandler,2023-11-02,7,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924520164
29,interhandler.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,8924387305,Interhandler,interhandler.pl,interhandler,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924387305
30,jit.team,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,9251082722,Jit Team,jit.team,jit team,2023-12-09,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9251082722
30,jit.team,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,9334433999,JIT Solutions sp. z o.o.,jit.team,jit solutions,2023-12-21,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9334433999
31,kghm.com,domena,scal,,MASTER,8924521176,KGHM Polska Miedź S.A.,kghm.com,kghm polska miedz s a,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924521176
31,kghm.com,domena,scal,,scal-do-mastera,421968143605,KGHM Polska Miedź S.A.,kghm.com,kghm polska miedz s a,2026-03-18,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/421968143605
32,kinguin.net,domena,scal,,MASTER,8917543877,Kinguin,kinguin.net,kinguin,2023-11-02,2,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917543877
32,kinguin.net,domena,scal,,scal-do-mastera,429381811440,Kinguin,kinguin.net,kinguin,2026-05-06,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/429381811440
33,koszalin.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8924522210,MPS International Sp. z o.o.,koszalin.pl,mps international,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924522210
33,koszalin.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,8923817689,AZS Koszalin,koszalin.pl,azs koszalin,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8923817689
33,koszalin.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,425455532236,ZETO Koszalin Sp. z o.o.,koszalin.pl,zeto koszalin,2026-04-08,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/425455532236
34,kotrak.com,domena,scal,,MASTER,8924364792,Kotrak,kotrak.com,kotrak,2023-11-02,3,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924364792
34,kotrak.com,domena,scal,,scal-do-mastera,363250628815,Kotrak S.A.,kotrak.com,kotrak s a,2026-01-14,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/363250628815
35,krd.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8923777728,Krajowy Rejestr Długów Biuro Informacji Gospodarczej SA,krd.pl,krajowy rejestr dlugow biuro informacji gospodarczej,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8923777728
35,krd.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,9335480260,IT Krajowy Rejestr Długów,krd.pl,it krajowy rejestr dlugow,2023-12-21,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9335480260
36,lightpointglobal.com,domena,scal,,MASTER,8917289423,Lightpoint Global,lightpointglobal.com,lightpoint global,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917289423
36,lightpointglobal.com,domena,scal,,scal-do-mastera,429380256999,Lightpoint Global,lightpointglobal.com,lightpoint global,2026-05-06,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/429380256999
37,linkdevelopment.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,9335459308,Linkdev,linkdevelopment.com,linkdev,2023-12-21,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9335459308
37,linkdevelopment.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,12895946996,Link Development,linkdevelopment.com,link development,2024-07-19,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/12895946996
38,linkedin.com,domena,scal,,MASTER,366052829381,RTC Group,linkedin.com,rtc group,2023-11-08,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/366052829381
38,linkedin.com,domena,scal,,scal-do-mastera,364451846338,RTC Group,linkedin.com,rtc group,2026-01-15,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/364451846338
39,movecloser.co,domena,scal,"w grupie są rekordy z dealami — sprawdź, który ma zostać masterem",MASTER,401108980979,Move Closer,movecloser.co,move closer,2026-02-18,1,1,https://app.hubspot.com/contacts/26782316/record/0-2/401108980979
39,movecloser.co,domena,scal,"w grupie są rekordy z dealami — sprawdź, który ma zostać masterem",scal-do-mastera,9335474677,Move Closer,movecloser.co,move closer,2023-12-21,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/9335474677
40,omikroncapital.pl,domena,scal,,MASTER,6945067991,Omikron Capital,omikroncapital.pl,omikron capital,2023-01-31,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6945067991
40,omikroncapital.pl,domena,scal,,scal-do-mastera,6976432092,Omikron Capital,omikroncapital.pl,omikron capital,2023-02-05,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976432092
41,otb.vc,domena,scal,,MASTER,6944668118,OTB Ventures,otb.vc,otb ventures,2023-01-31,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6944668118
41,otb.vc,domena,scal,,scal-do-mastera,6976423659,OTB Ventures,otb.vc,otb ventures,2023-02-05,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976423659
42,pentonpartners.com,domena,scal,,MASTER,6943926487,Penton Partners,pentonpartners.com,penton partners,2023-01-31,3,0,https://app.hubspot.com/contacts/26782316/record/0-2/6943926487
42,pentonpartners.com,domena,scal,,scal-do-mastera,6976423661,Penton Partners,pentonpartners.com,penton partners,2023-02-05,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976423661
43,pgeenergiaciepla.pl,domena,scal,,MASTER,15061522127,PGE Energia Ciepła S.A.,pgeenergiaciepla.pl,pge energia ciepla s a,2024-09-15,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/15061522127
43,pgeenergiaciepla.pl,domena,scal,,scal-do-mastera,14955867363,PGE Energia Ciepła S.A.,pgeenergiaciepla.pl,pge energia ciepla s a,2024-09-15,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/14955867363
44,pillovely.pl,domena,scal,,MASTER,434826136823,PILLOVELY.COM Spółka z ograniczoną odpowiedzialnością,pillovely.pl,pillovely com,2026-06-25,3,0,https://app.hubspot.com/contacts/26782316/record/0-2/434826136823
44,pillovely.pl,domena,scal,,scal-do-mastera,434988278003,Pillovely.com Sp. z o.o.,pillovely.pl,pillovely com,2026-06-25,3,0,https://app.hubspot.com/contacts/26782316/record/0-2/434988278003
45,piwik.pro,domena,scal,,MASTER,6988299755,Piwik PRO,piwik.pro,piwik pro,2023-02-07,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6988299755
45,piwik.pro,domena,scal,,scal-do-mastera,429380381894,Piwik PRO,piwik.pro,piwik pro,2026-05-06,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/429380381894
46,profitroom.com,domena,scal,,MASTER,429381841145,Profitroom,profitroom.com,profitroom,2026-05-06,7,0,https://app.hubspot.com/contacts/26782316/record/0-2/429381841145
46,profitroom.com,domena,scal,,scal-do-mastera,9288136409,Profitroom,profitroom.com,profitroom,2023-12-14,5,0,https://app.hubspot.com/contacts/26782316/record/0-2/9288136409
47,promotee.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,6976322251,Promotee.pl,promotee.pl,promotee pl,2023-02-05,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976322251
47,promotee.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,6976433109,Grupa Nova Sp. z o.o.,promotee.pl,grupa nova,2023-02-05,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976433109
48,salesmanago.com,domena,scal,,MASTER,9251102420,SALESmanago | Customer Engagement Platform,salesmanago.com,salesmanago customer engagement platform,2023-12-09,4,0,https://app.hubspot.com/contacts/26782316/record/0-2/9251102420
48,salesmanago.com,domena,scal,,scal-do-mastera,429336980684,SALESmanago,salesmanago.com,salesmanago,2026-05-06,4,0,https://app.hubspot.com/contacts/26782316/record/0-2/429336980684
49,santander.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8924545254,Santander Bank Polska SA,santander.pl,santander bank polska,2023-11-02,2,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924545254
49,santander.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,8924521925,Santander TFI,santander.pl,santander tfi,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8924521925
50,soflab.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8917773786,Soflab Technology,soflab.pl,soflab technology,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917773786
50,soflab.pl,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,9335456706,Soflab Services Sp. z o.o.,soflab.pl,soflab services,2023-12-21,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9335456706
51,spacetogrow.io,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,165542755525,HPR Group,spacetogrow.io,hpr group,2025-06-02,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/165542755525
51,spacetogrow.io,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,165519043804,SpacetoGrow.io,spacetogrow.io,spacetogrow io,2025-06-02,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/165519043804
52,t-mobile.pl,domena,scal,,MASTER,7820572135,T-Mobile,t-mobile.pl,t mobile,2023-06-14,18,0,https://app.hubspot.com/contacts/26782316/record/0-2/7820572135
52,t-mobile.pl,domena,scal,,scal-do-mastera,7822030548,T-Mobile,t-mobile.pl,t mobile,2023-06-14,4,0,https://app.hubspot.com/contacts/26782316/record/0-2/7822030548
53,viisa.vn,domena,scal,,MASTER,6877276351,VIISA,viisa.vn,viisa,2023-01-20,8,0,https://app.hubspot.com/contacts/26782316/record/0-2/6877276351
53,viisa.vn,domena,scal,,scal-do-mastera,6976423658,Viisa,viisa.vn,viisa,2023-02-05,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6976423658
54,vimera.io,domena,scal,,MASTER,9288258536,Vimera,vimera.io,vimera,2023-12-14,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/9288258536
54,vimera.io,domena,scal,,scal-do-mastera,9014401486,Vimera,vimera.io,vimera,2023-11-13,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9014401486
55,virtuslab.com,domena,scal,,MASTER,429381927109,VirtusLab,virtuslab.com,virtuslab,2026-05-06,2,0,https://app.hubspot.com/contacts/26782316/record/0-2/429381927109
55,virtuslab.com,domena,scal,,scal-do-mastera,6988299748,VirtusLab,virtuslab.com,virtuslab,2023-02-07,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/6988299748
56,voluum.com,domena,scal,,MASTER,8968128235,Voluum,voluum.com,voluum,2023-11-08,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/8968128235
56,voluum.com,domena,scal,,scal-do-mastera,429380854971,Voluum,voluum.com,voluum,2026-05-06,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/429380854971
57,zeropark.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8980379631,Zeropark,zeropark.com,zeropark,2023-11-09,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/8980379631
57,zeropark.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,405302792437,Commerce Media Tech,zeropark.com,commerce media tech,2026-02-23,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/405302792437
